Cd_Exercicio,Cd_Orgao,Sigla_Orgao,papa,Cd_Despesa,Vl_Orcado_Ano,Vl_Reduzido,Vl_Congelado,Disponivel,Vl_EmpenhadoLiquido,Vl_Liquidado,Vl_Pago
2019,7,FMD       ,Projetos,45906100,1000,0,1000,0,0,0,0
2019,7,FMD       ,Projetos,44903900,1000,0,1000,0,0,0,0
2019,7,FMD       ,Projetos,44905100,1000,0,1000,0,0,0,0
2019,7,FMD       ,Projetos,44905200,1000,0,1000,0,0,0,0
2019,7,FMD       ,Projetos,44906100,1000,0,1000,0,0,0,0
2019,7,FMD       ,Projetos,45905200,1000,0,1000,0,0,0,0
2019,7,FMD       ,Projetos,45906100,1000,0,1000,0,0,0,0
2019,7,FMD       ,Projetos,44903900,1000,0,1000,0,0,0,0
2019,7,FMD       ,Projetos,44905100,1000,0,1000,0,0,0,0
2019,7,FMD       ,Projetos,44905200,1000,0,1000,0,0,0,0
2019,7,FMD       ,Projetos,44906100,1000,0,1000,0,0,0,0
2019,7,FMD       ,Projetos,45905200,1000,0,1000,0,0,0,0
2019,7,FMD       ,Projetos,45906100,1000,0,1000,0,0,0,0
2019,7,FMD       ,Projetos,44905100,1000,0,1000,0,0,0,0
2019,7,FMD       ,Projetos,44905100,1000,0,1000,0,0,0,0
2019,7,FMD       ,Projetos,44903900,1000,0,1000,0,0,0,0
2019,7,FMD       ,Projetos,44905100,1000,0,1000,0,0,0,0
2019,7,FMD       ,Projetos,44903900,1000,0,1000,0,0,0,0
2019,7,FMD       ,Projetos,44905100,1000,0,1000,0,0,0,0
2019,7,FMD       ,Projetos,44906200,1000,0,1000,0,0,0,0
2019,7,FMD       ,Projetos,44903900,1000,0,1000,0,0,0,0
2019,7,FMD       ,Projetos,44905100,1000,0,1000,0,0,0,0
2019,7,FMD       ,Projetos,44905200,1000,0,1000,0,0,0,0
2019,7,FMD       ,Projetos,44906100,1000,0,1000,0,0,0,0
2019,7,FMD       ,Projetos,45905200,1000,0,1000,0,0,0,0
2019,7,FMD       ,Projetos,45906100,1000,0,1000,0,0,0,0
2019,7,FMD       ,Projetos,44905100,1000,0,1000,0,0,0,0
2019,7,FMD       ,Projetos,44903900,0,0,"76200,91","84481691,89","82657348,02","37553649,34","26328622,96"
2019,7,FMD       ,Projetos,44903900,1000,0,1000,0,0,0,0
2019,7,FMD       ,Projetos,44905100,0,0,12600000,0,0,0,0
2019,7,FMD       ,Projetos,44905100,1000,0,1000,0,0,0,0
2019,7,FMD       ,Projetos,44905200,1000,0,1000,0,0,0,0
2019,7,FMD       ,Projetos,44906100,1000,0,1000,0,0,0,0
2019,7,FMD       ,Projetos,45905200,1000,0,1000,0,0,0,0
2019,7,FMD       ,Projetos,45906100,1000,0,1000,0,0,0,0
2019,8,FMID      ,Atividades,33903000,10000,0,10000,0,0,0,0
2019,8,FMID      ,Atividades,33903900,10000,0,10000,0,0,0,0
2019,8,FMID      ,Atividades,44905200,5000,0,5000,"6184,32","3191,99","3191,99","3191,99"
2019,8,FMID      ,Atividades,33503900,50000,0,50000,0,0,0,0
2019,8,FMID      ,Atividades,33903000,5000,0,5000,0,0,0,0
2019,8,FMID      ,Atividades,33903900,530000,0,530000,0,0,0,0
2019,11,SGM       ,Atividades,33903900,3134378,2354757,"1038327,87","2015224,24","1515981,36","1263317,8","1263317,8"
2019,11,SGM       ,Atividades,33901400,50000,"1047,69","15178,64","33773,67","33773,67","33773,67","33773,67"
2019,11,SGM       ,Atividades,33903300,335811,0,"37173,22","298637,78","156381,21","31572,35","31572,35"
2019,11,SGM       ,Atividades,33903600,5000,0,5000,0,0,0,0
2019,11,SGM       ,Atividades,33903900,163000,0,"81046,47","81953,53","81953,53","81953,53","81953,53"
2019,11,SGM       ,Atividades,33909200,0,0,0,"1047,69","1047,69","1047,69","1047,69"
2019,11,SGM       ,Atividades,33903900,1920974,"1368418,97",192906,"552555,03","487566,08","487566,08","487566,08"
2019,11,SGM       ,Atividades,33904000,0,0,0,"731209,07","724837,36","724837,36",0
2019,11,SGM       ,Atividades,33903900,84952500,"20030361,43",8995154,"110287975,12","110287975,12","57366919,14","54900581,89"
2019,11,SGM       ,Atividades,33903900,612630,0,61520,551110,551110,"393174,83","393174,83"
2019,11,SGM       ,Projetos,44903900,2000000,2000000,2000000,0,0,0,0
2019,11,SGM       ,Projetos,44905100,1000,0,"730473,49","1979112,83","1979112,83","1591451,82","1591451,82"
2019,11,SGM       ,Atividades,33903900,1500000,"777606,33","667673,67",54720,"44421,04","15634,8","15634,8"
2019,11,SGM       ,Atividades,33904000,0,0,"777606,33",0,0,0,0
2019,11,SGM       ,Atividades,33909300,0,0,0,"777606,33","737170,8","737170,8",0
2019,11,SGM       ,Pessoal,31901100,26035643,"3292245,85",0,"27637909,63","26760851,38","26760851,38","26760851,38"
2019,11,SGM       ,Pessoal,31909600,1000000,0,0,"1521562,75","1046203,69","1005350,3","1005350,3"
2019,11,SGM       ,Atividades,33503900,414179,0,41592,372587,"334827,49","237481,53","237481,53"
2019,11,SGM       ,Atividades,33504100,150000,0,15063,159579,159579,159579,159579
2019,11,SGM       ,Atividades,33504800,109296,0,10975,98321,"95191,68","66054,88","66054,88"
2019,11,SGM       ,Atividades,33901400,80000,0,"58275,37","135849,75","94702,17","94702,17","94702,17"
2019,11,SGM       ,Atividades,33903000,400000,"241903,69","176095,73","152168,58","115369,95","110772,48","110772,48"
2019,11,SGM       ,Atividades,33903300,750610,"3015,73","123500,98","627109,02","436601,72","339432,69","306071,75"
2019,11,SGM       ,Atividades,33903600,15000,0,15000,0,0,0,0
2019,11,SGM       ,Atividades,33903900,7433417,"1386175,99","2100461,56","6867457,53","6548657,61","5072696,57","5033590,75"
2019,11,SGM       ,Auxílios,33904600,2998163,500000,0,"3026020,7","2912523,55","2912523,55","2912523,55"
2019,11,SGM       ,Atividades,33904700,1000,0,1000,9880,9880,7800,7800
2019,11,SGM       ,Auxílios,33904900,676899,120000,0,"679245,27","590266,31","590266,31","590266,31"
2019,11,SGM       ,Atividades,33909200,0,0,0,"437124,13","437124,13","437124,13","437124,13"
2019,11,SGM       ,Atividades,33909300,0,0,0,"77409,87","76898,6","76898,6","76842,65"
2019,11,SGM       ,Atividades,44905200,100000,0,"68769,83","31230,17","25969,36","25969,36","25969,36"
2019,11,SGM       ,Atividades,33903000,343674,0,"50079,6","437739,69","408965,54","319375,77","319375,77"
2019,11,SGM       ,Atividades,33903600,5000,0,5000,0,0,0,0
2019,11,SGM       ,Atividades,33903700,150000,9579,140421,0,0,0,0
2019,11,SGM       ,Atividades,33903900,5916388,0,"628674,65","7218172,75","7172405,4","5610151,86","5523952,19"
2019,11,SGM       ,Atividades,44905200,220000,0,"96962,08","123037,92","119006,24","112676,25","112676,25"
2019,11,SGM       ,Projetos,44904000,1000000,1000000,1000000,"911714,76","739149,46",0,0
2019,11,SGM       ,Atividades,33904000,25000,0,"3880,29","49143,94","11702,04","11702,04","11702,04"
2019,11,SGM       ,Atividades,44904000,0,0,"5809,19",43828,43828,43828,43828
2019,11,SGM       ,Atividades,44905200,225000,"49637,19","34137,94","141224,87",40656,0,0
2019,11,SGM       ,Atividades,33904000,3110000,312309,"315155,3","3415369,87","3367440,98","2266302,86","2266302,86"
2019,11,SGM       ,Projetos,33903600,0,0,8320,41080,41080,39000,39000
2019,11,SGM       ,Projetos,33903900,0,0,"270916,67","350916,67",80000,80000,80000
2019,11,SGM       ,Projetos,44903500,1000000,"4545210,64",1047472,"673483,37","673483,37",0,0
2019,11,SGM       ,Projetos,44903900,0,0,0,201300,161500,0,0
2019,11,SGM       ,Projetos,33903900,200000,200000,200000,0,0,0,0
2019,11,SGM       ,Projetos,33903900,300000,300000,300000,0,0,0,0
2019,11,SGM       ,Projetos,33903900,300000,300000,300000,0,0,0,0
2019,11,SGM       ,Projetos,44905100,1000,0,1000,0,0,0,0
2019,11,SGM       ,Projetos,44905100,27027812,0,27027812,0,0,0,0
2019,11,SGM       ,Projetos,33903900,1000000,880000,1000000,0,0,0,0
2019,11,SGM       ,Projetos,44903900,300000,300000,300000,0,0,0,0
2019,11,SGM       ,Projetos,33903900,100000,100000,100000,0,0,0,0
2019,11,SGM       ,Projetos,33903900,200000,200000,200000,0,0,0,0
2019,11,SGM       ,Projetos,33903900,150000,150000,150000,0,0,0,0
2019,11,SGM       ,Projetos,33903900,50000,50000,50000,0,0,0,0
2019,11,SGM       ,Projetos,33903900,40000,40000,40000,0,0,0,0
2019,11,SGM       ,Projetos,33903900,60000,60000,60000,0,0,0,0
2019,11,SGM       ,Projetos,33903900,100000,100000,100000,0,0,0,0
2019,11,SGM       ,Projetos,33903900,100000,100000,100000,0,0,0,0
2019,11,SGM       ,Projetos,33903900,100000,100000,100000,0,0,0,0
2019,11,SGM       ,Projetos,33903900,50000,50000,50000,0,0,0,0
2019,11,SGM       ,Projetos,33903900,320000,320000,320000,0,0,0,0
2019,11,SGM       ,Projetos,33903900,100000,100000,100000,0,0,0,0
2019,11,SGM       ,Projetos,33903900,50000,50000,50000,0,0,0,0
2019,11,SGM       ,Projetos,33903900,1000000,1000000,1200000,0,0,0,0
2019,11,SGM       ,Projetos,33903900,120000,120000,120000,0,0,0,0
2019,11,SGM       ,Atividades,33903900,560000,530000,560000,0,0,0,0
2019,11,SGM       ,Atividades,33903900,4000000,3988800,4030000,0,0,0,0
2019,11,SGM       ,Atividades,33903900,500000,500000,500000,0,0,0,0
2019,11,SGM       ,Atividades,33903900,3300000,3170000,3300000,0,0,0,0
2019,11,SGM       ,Atividades,33903900,470000,470000,470000,0,0,0,0
2019,11,SGM       ,Atividades,33903900,1000000,1000000,1000000,0,0,0,0
2019,11,SGM       ,Atividades,33903900,500000,500000,500000,0,0,0,0
2019,11,SGM       ,Atividades,33903900,500000,470000,500000,0,0,0,0
2019,11,SGM       ,Atividades,33903900,2700000,2700000,2700000,0,0,0,0
2019,11,SGM       ,Atividades,33903900,400000,400000,400000,0,0,0,0
2019,11,SGM       ,Atividades,33903900,465000,465000,465000,0,0,0,0
2019,11,SGM       ,Atividades,33903900,400000,400000,400000,0,0,0,0
2019,11,SGM       ,Atividades,33903900,420000,420000,420000,0,0,0,0
2019,11,SGM       ,Atividades,33903900,150000,150000,150000,0,0,0,0
2019,11,SGM       ,Atividades,33903900,200000,200000,200000,0,0,0,0
