Cd_Exercicio,Administracao,Cd_Orgao,Sigla_Orgao,papa,Cd_Despesa,Vl_Orcado_Ano,Vl_Reduzido,Vl_Congelado,Disponivel,Vl_Liquidado,Vl_Pago
2022,Direta,11,SGM       ,Pessoal,31901100,116536912,"53393480,09",0,"63143431,91","41075077,72","41075077,72"
2022,Direta,11,SGM       ,Pessoal,31909600,251661,0,0,"539372,8","206261,27","180973,46"
2022,Direta,11,SGM       ,Atividades,33503900,2160555,0,0,2160555,"406304,05","406304,05"
2022,Direta,11,SGM       ,Atividades,33504100,270000,0,0,270000,"242144,12","242144,12"
2022,Direta,11,SGM       ,Atividades,33504800,473933,0,0,473933,"54331,94","54331,94"
2022,Direta,11,SGM       ,Atividades,33900800,1000,0,0,1000,0,0
2022,Direta,11,SGM       ,Atividades,33901400,300000,0,0,300000,"73820,95","65505,72"
2022,Direta,11,SGM       ,Atividades,33903000,500000,"34225,39",0,"541106,76","98506,55","92394,47"
2022,Direta,11,SGM       ,Atividades,33903300,686712,0,0,"705855,21","228859,53","228236,35"
2022,Direta,11,SGM       ,Atividades,33903500,0,"206581,55",0,"4263418,45",1012473,337491
2022,Direta,11,SGM       ,Atividades,33903600,0,"4429589,6",0,"841095,88","841095,88","841095,88"
2022,Direta,11,SGM       ,Atividades,33903900,18154162,"2869793,71",0,"26743199,28","9932477,71","9075078,44"
2022,Direta,11,SGM       ,Aux�lios,33904600,8683675,"3536308,48",0,"5147366,52","4513627,42","4513627,42"
2022,Direta,11,SGM       ,Atividades,33904800,0,"1403485,44",0,"174206,41","174206,41","174206,41"
2022,Direta,11,SGM       ,Aux�lios,33904900,1540318,"132505,08",0,"1407812,92","268291,64","268291,64"
2022,Direta,11,SGM       ,Atividades,33909200,0,0,0,"10343,01","4665,01","4665,01"
2022,Direta,11,SGM       ,Atividades,33909300,30000,"3665,01",0,"26334,99",8097,8097
2022,Direta,11,SGM       ,Atividades,44905200,500000,"18668,4",0,"522421,87","201260,91","201260,91"
2022,Direta,11,SGM       ,Atividades,33903000,250000,0,0,"411686,33","13770,94","13770,94"
2022,Direta,11,SGM       ,Atividades,33903900,7773329,0,0,7773329,"4679697,5","4529647,46"
2022,Direta,11,SGM       ,Atividades,44905200,300000,0,0,"417606,11","73195,19","27385,27"
2022,Direta,11,SGM       ,Atividades,33903500,9100000,"7263749,28",100000,"1736250,72",0,0
2022,Direta,11,SGM       ,Projetos,44904000,1000,0,0,"8590823,7",0,0
2022,Direta,11,SGM       ,Atividades,33903000,200000,0,0,200000,"17771,65","13808,85"
2022,Direta,11,SGM       ,Atividades,33904000,3000000,2001661,0,"1126327,43","808799,55","644492,61"
2022,Direta,11,SGM       ,Atividades,33909300,0,0,0,1661,0,0
2022,Direta,11,SGM       ,Atividades,44903000,0,0,0,"155086,97",0,0
2022,Direta,11,SGM       ,Atividades,44904000,0,0,0,"111826,69",0,0
2022,Direta,11,SGM       ,Atividades,44905200,100000,0,0,"538159,13","79149,95","38149,95"
2022,Direta,11,SGM       ,Atividades,33904000,43861429,0,0,"48530103,95","27764160,29","27764160,29"
2022,Direta,11,SGM       ,Atividades,33903500,15724380,0,0,15724380,"11395976,62","11395976,62"
2022,Direta,11,SGM       ,Atividades,33903900,200000,0,0,200000,9000,9000
2022,Direta,11,SGM       ,Atividades,33903900,200000,0,0,200000,0,0
2022,Direta,11,SGM       ,Atividades,33903900,10000000,0,0,0,0,0
2022,Direta,11,SGM       ,Projetos,44905100,1000,0,0,"7888998,23","7738081,35","7738081,35"
2022,Direta,11,SGM       ,Atividades,33903900,1000,0,0,1000,0,0
2022,Direta,11,SGM       ,Atividades,33903000,0,0,0,49205,0,0
2022,Direta,11,SGM       ,Atividades,33903700,0,0,0,"3990480,02","78172,07","78172,07"
2022,Direta,11,SGM       ,Atividades,33903900,0,"1718440,58",0,"797312,68",0,0
2022,Direta,11,SGM       ,Atividades,33904000,0,0,0,14720,0,0
2022,Direta,11,SGM       ,Atividades,33913900,1000,0,0,1000,0,0
2022,Direta,11,SGM       ,Atividades,33903900,219976000,"864668960,37","958394492,66",50001000,0,0
2022,Direta,11,SGM       ,Atividades,33903900,5000000,"4111829,78",5080000,0,0,0
2022,Direta,11,SGM       ,Atividades,33903900,5000000,"4028379,75",5000000,0,0,0
2022,Direta,11,SGM       ,Atividades,33903900,5000000,4651000,5050000,0,0,0
2022,Direta,11,SGM       ,Atividades,33903900,5000000,"3295396,57",5000000,0,0,0
2022,Direta,11,SGM       ,Atividades,33903900,5000000,"3834999,71",5000000,0,0,0
2022,Direta,11,SGM       ,Atividades,33903900,110000,108500,110000,0,0,0
2022,Direta,11,SGM       ,Atividades,33903900,5000000,2000000,5000000,0,0,0
2022,Direta,11,SGM       ,Atividades,33903900,5000000,3537810,5000000,0,0,0
2022,Direta,11,SGM       ,Atividades,33903900,5000000,4973820,5320000,0,0,0
2022,Direta,12,SMSUB     ,Atividades,33903900,1000,0,0,1000,0,0
2022,Direta,12,SMSUB     ,Projetos,44903900,1000,0,0,1000,0,0
2022,Direta,12,SMSUB     ,Projetos,44903900,256321,256321,256321,0,0,0
2022,Direta,12,SMSUB     ,Atividades,33903900,100000,0,0,"617172,87","309049,7","309049,7"
2022,Direta,12,SMSUB     ,Atividades,33903900,1000,0,0,1000,0,0
2022,Direta,12,SMSUB     ,Atividades,33903000,150000,0,0,150000,0,0
2022,Direta,12,SMSUB     ,Atividades,33904000,4025904,0,0,4025904,"2692277,71","2391077,28"
2022,Direta,12,SMSUB     ,Atividades,44904000,1738458,0,0,"2486822,38","193266,93","150629,93"
2022,Direta,12,SMSUB     ,Atividades,44905200,434432,0,0,"986607,78",733045,296045
2022,Direta,12,SMSUB     ,Projetos,44903900,1000,0,0,1000,0,0
2022,Direta,12,SMSUB     ,Atividades,33903000,1000,0,0,1000,0,0
2022,Direta,12,SMSUB     ,Atividades,33903900,670950,"61218,09",0,"609731,91","503815,2","390156,89"
2022,Direta,12,SMSUB     ,Atividades,33903500,1000,0,0,1000,0,0
2022,Direta,12,SMSUB     ,Atividades,33903900,2122204,0,0,3552880,"1278081,54","1276713,52"
2022,Direta,12,SMSUB     ,Projetos,44903900,1000,0,0,"1027484,48",0,0
2022,Direta,12,SMSUB     ,Projetos,44903900,0,0,0,"219407,6",0,0
2022,Direta,12,SMSUB     ,Projetos,44905100,1000,0,0,"1111147,34","1021920,87","915660,12"
2022,Direta,12,SMSUB     ,Atividades,33903900,1000,0,0,1000,0,0
2022,Direta,12,SMSUB     ,Projetos,44905100,1000,0,0,1000,0,0
2022,Direta,12,SMSUB     ,Atividades,33903900,1000,0,0,1000,0,0
2022,Direta,12,SMSUB     ,Atividades,33903900,90406134,"8658744,55",0,"97196084,04","37829106,04","36591463,11"
2022,Direta,12,SMSUB     ,Atividades,33905100,0,0,0,0,0,0
2022,Direta,12,SMSUB     ,Atividades,44905100,0,0,0,5000000,0,0
2022,Direta,12,SMSUB     ,Atividades,33903900,1000,0,0,1000,0,0
2022,Direta,12,SMSUB     ,Pessoal,31901100,54149902,"418935,37",0,"53730966,63","24077445,51","24077445,51"
2022,Direta,12,SMSUB     ,Pessoal,31909600,78000,"3937,51",0,"74062,49","51182,16","51182,16"
2022,Direta,12,SMSUB     ,Pessoal,31919200,0,0,0,"80619,72","80619,72","80619,72"
2022,Direta,12,SMSUB     ,Pessoal,31919600,0,0,0,"3937,51","3937,51",0
2022,Direta,12,SMSUB     ,Atividades,33503900,4862472,"1990742,06",0,"2871729,94","1631261,81","1631261,81"
2022,Direta,12,SMSUB     ,Atividades,33504800,940199,"316472,6",0,"623726,4","345672,8","345672,8"
2022,Direta,12,SMSUB     ,Atividades,33900800,12000,0,0,12000,"15,3","15,3"
2022,Direta,12,SMSUB     ,Atividades,33901400,25000,0,0,25000,0,0
2022,Direta,12,SMSUB     ,Atividades,33903000,401300,0,0,401300,"32615,11","28783,51"
2022,Direta,12,SMSUB     ,Atividades,33903300,311768,0,0,311768,"9801,73","5836,94"
2022,Direta,12,SMSUB     ,Atividades,33903900,17163265,"2095096,98","6727,71","14966855,63","7186881,82","6657357,81"
2022,Direta,12,SMSUB     ,Aux�lios,33904600,4729198,0,0,4729198,"4055932,4","4055932,4"
2022,Direta,12,SMSUB     ,Atividades,33904700,1000,0,0,1000,0,0
2022,Direta,12,SMSUB     ,Aux�lios,33904900,1330000,0,0,1330000,"423847,44","423847,44"
2022,Direta,12,SMSUB     ,Atividades,33909200,0,0,0,"137532,46","137514,4","137514,4"
2022,Direta,12,SMSUB     ,Atividades,33909300,0,0,0,"10311105,7","10311105,7","10311105,7"
2022,Direta,12,SMSUB     ,Atividades,33913900,547660,"80443,06",0,"467216,94","334959,7","334959,7"
2022,Direta,12,SMSUB     ,Atividades,44905200,1041095,"420749,18",0,"620345,82","360505,99","354817,99"
2022,Direta,12,SMSUB     ,Atividades,44905200,32004,"5670,97",32004,0,0,0
2022,Direta,12,SMSUB     ,Projetos,44904000,1000,0,0,1000,0,0
2022,Direta,12,SMSUB     ,Atividades,33904000,63870694,"3726366,22",0,"60144327,78","29016536,54","22943818,49"
2022,Direta,12,SMSUB     ,Atividades,33904000,1000,0,0,1000,0,0
2022,Direta,12,SMSUB     ,Projetos,44903500,1000,0,0,1000,0,0
2022,Direta,12,SMSUB     ,Projetos,44903900,5845496,"2064532,15",5845496,"3150068,96",0,0
2022,Direta,12,SMSUB     ,Projetos,44905100,0,0,0,"192226020,16","3631416,72","3472236,23"
2022,Direta,12,SMSUB     ,Projetos,44905100,2882500,"322220,62",2882500,"2111114,51","1029949,54","1029949,54"
2022,Direta,12,SMSUB     ,Atividades,33903000,8000000,"3841972,15",0,"6241555,85","3192915,28","3192915,28"
2022,Direta,12,SMSUB     ,Atividades,33903900,18000000,0,0,"24855519,16","14636698,97","14636698,97"
2022,Direta,12,SMSUB     ,Atividades,33903900,40000000,0,0,"48148901,43","32004924,74","30367849,75"
2022,Direta,12,SMSUB     ,Atividades,33909200,0,0,0,0,0,0
2022,Direta,12,SMSUB     ,Atividades,33903900,948007945,0,0,"1063970334,28","779908059,77","693989835,39"
2022,Direta,12,SMSUB     ,Projetos,44903900,1000,"1245892,08",0,"158995681,96",0,0
2022,Direta,12,SMSUB     ,Projetos,44903900,915009,"382345,44",915009,"515009,25",0,0
2022,Direta,12,SMSUB     ,Projetos,44903500,1000,0,0,1000,0,0
2022,Direta,12,SMSUB     ,Projetos,44903900,1000,0,0,737581000,"181844047,73","134554543,5"
2022,Direta,12,SMSUB     ,Projetos,44903900,500000000,0,500000000,0,0,0
2022,Direta,12,SMSUB     ,Projetos,44905100,1000,22400000,0,"100507632,85","822848,96","389653,39"
2022,Direta,12,SMSUB     ,Projetos,44905100,49800000,0,49800000,0,0,0
2022,Direta,12,SMSUB     ,Projetos,44905100,5193800,"4964912,11",5193800,"1987794,62","547291,42","547291,42"
2022,Direta,12,SMSUB     ,Projetos,44909200,0,0,0,"192071,56","6274,2","6274,2"
2022,Direta,12,SMSUB     ,Projetos,44903900,15750000,"17543492,09",17350000,"81856507,91","301109,72","301109,72"
2022,Direta,12,SMSUB     ,Projetos,44909200,0,0,0,"12607,54","10234,55","10234,55"
2022,Direta,12,SMSUB     ,Projetos,44909200,0,0,0,"309683,84","74759,73","74759,73"
2022,Direta,12,SMSUB     ,Atividades,33903000,8011425,"4544946,95",0,"4506478,05","2461411,68","2461411,68"
2022,Direta,12,SMSUB     ,Atividades,33903900,13730364,"2764242,2",0,"12892654,18","7966898,71","7966898,71"
2022,Direta,12,SMSUB     ,Atividades,33909200,0,0,0,0,0,0
2022,Direta,12,SMSUB     ,Atividades,33903000,1000,"2742151,34","2742151,34","57995748,37","551969,6","551969,6"
2022,Direta,12,SMSUB     ,Atividades,33903500,1000,"913427,1",0,"2363161,24","2350383,61","2339039,85"
2022,Direta,12,SMSUB     ,Atividades,33903900,1000,"57105161,08",0,"166557941,83","51896476,32","44184893,49"
2022,Direta,12,SMSUB     ,Atividades,33909200,0,0,0,"23839,81","23839,81","23839,81"
2022,Direta,12,SMSUB     ,Atividades,33903000,3658808,"1316117,02",0,"2542690,98","1042595,6","1036344,35"
2022,Direta,12,SMSUB     ,Atividades,33903900,58000000,"7625069,85",0,"74805955,87","50689541,49","49214867,04"
2022,Direta,12,SMSUB     ,Atividades,33909200,0,0,0,"14002,08","14002,08","14002,08"
2022,Direta,12,SMSUB     ,Atividades,33903900,1000,0,0,1000,0,0
2022,Direta,12,SMSUB     ,Atividades,33903900,5461669,"4361146,72",0,"1100522,28","448498,04","400728,92"
2022,Direta,12,SMSUB     ,Atividades,33903900,3278207,1350000,0,"5654573,22","1998968,93","1998968,93"
2022,Direta,12,SMSUB     ,Atividades,33903900,29308976,"20144278,58",0,"9166371,26","6192408,86","6192408,86"
2022,Direta,12,SMSUB     ,Projetos,44905100,8000000,0,8000000,0,0,0
2022,Direta,12,SMSUB     ,Projetos,44903500,2000000,0,2000000,0,0,0
2022,Direta,12,SMSUB     ,Projetos,44903900,500000,0,500000,0,0,0
2022,Direta,12,SMSUB     ,Projetos,44903900,400000,0,400000,0,0,0
2022,Direta,12,SMSUB     ,Projetos,44903900,300000,0,300000,0,0,0
2022,Direta,12,SMSUB     ,Projetos,44903900,250000,0,250000,0,0,0
2022,Direta,12,SMSUB     ,Projetos,44903900,100000,0,100000,0,0,0
2022,Direta,12,SMSUB     ,Projetos,44903900,200000,0,200000,0,0,0
2022,Direta,12,SMSUB     ,Projetos,44903900,200000,0,200000,0,0,0
2022,Direta,12,SMSUB     ,Projetos,44903900,100000,0,100000,0,0,0
2022,Direta,12,SMSUB     ,Projetos,44903900,250000,0,250000,0,0,0
2022,Direta,12,SMSUB     ,Projetos,44905100,100000,0,100000,0,0,0
2022,Direta,12,SMSUB     ,Projetos,44905100,100000,0,100000,0,0,0
2022,Direta,12,SMSUB     ,Atividades,33903900,28000000,0,0,28000000,"13676419,98","12740833,82"
2022,Direta,12,SMSUB     ,Projetos,44905100,35945600,"8549076,72",0,"40898994,03","18849687,29","18197229,52"
2022,Direta,12,SMSUB     ,Projetos,44905100,1210500,1210500,1210500,0,0,0
2022,Direta,12,SMSUB     ,Projetos,44905100,14054400,0,0,14054400,0,0
2022,Direta,12,SMSUB     ,Projetos,44909100,0,0,0,"3298991,22",0,0
2022,Direta,12,SMSUB     ,Projetos,44909200,0,0,0,"5250085,5","5238880,89","5238880,89"
2022,Direta,12,SMSUB     ,Projetos,44909300,0,0,0,0,0,0
2022,Direta,12,SMSUB     ,Projetos,44905100,0,0,0,"2822234,16","2478826,92","2478826,92"
2022,Direta,12,SMSUB     ,Projetos,44905100,1000,0,1000,0,0,0
2022,Direta,12,SMSUB     ,Atividades,33903900,31401613,"10989591,78",0,"90120978,77","49596554,71","48167174,27"
2022,Direta,12,SMSUB     ,Atividades,33909200,0,0,0,0,0,0
2022,Direta,12,SMSUB     ,Atividades,33903900,1000,0,0,1000,0,0
2022,Direta,13,SG        ,Atividades,33903900,0,0,0,1000,0,0
2022,Direta,13,SG        ,Pessoal,31901100,0,0,0,"53105768,29","27937445,04","27937445,04"
2022,Direta,13,SG        ,Atividades,33903500,0,0,0,270000,0,0
2022,Direta,13,SG        ,Atividades,33903600,0,0,0,"4429589,6","1957125,67","1957125,67"
2022,Direta,13,SG        ,Atividades,33903900,0,0,0,"2336751,36","5780,7",0
2022,Direta,13,SG        ,Aux�lios,33904600,0,0,0,"3536308,48","2143558,88","2143558,88"
2022,Direta,13,SG        ,Atividades,33904800,0,0,0,"1403485,44","378070,23","378070,23"
2022,Direta,13,SG        ,Aux�lios,33904900,0,0,0,"132505,08","58154,13","58154,13"
2022,Direta,13,SG        ,Atividades,44905200,0,0,0,40000,0,0
2022,Direta,13,SG        ,Pessoal,31901600,0,"21064387,34",0,"186071783,61","177835959,03","177835959,03"
2022,Direta,13,SG        ,Pessoal,31901100,0,0,0,1000,0,0
2022,Direta,13,SG        ,Pessoal,31901100,0,0,4000000,0,0,0
2022,Direta,13,SG        ,Atividades,33903000,0,0,0,90000,0,0
2022,Direta,13,SG        ,Atividades,33904000,0,0,0,"680263,46",0,0
2022,Direta,13,SG        ,Atividades,44905200,0,0,0,310000,0,0
2022,Direta,13,SG        ,Atividades,33904000,0,0,0,800000,0,0
2022,Direta,13,SG        ,Atividades,33903100,0,0,0,18000,0,0
